Alfonso Cuarón
Adam Wingard
Gavin O'Connor
Albert Pyun
M. Night Shyamalan
Matt Eskandari
Terence Young
Kaige Chen
Edward Zwick
Alessandro Carloni
J.J. Abrams
Travis Knight
Amir Shervan
Doug Liman
Mel Gibson
Patty Jenkins
Mimi Leder
Peter Berg
Kihachi Okamoto
Kenji Misumi
Prachya Pinkaew
Matt Reeves
Peter Weir
Angelina Jolie
Timur Bekmambetov
Robert Rodriguez
Ben Stiller
Joss Whedon
Robert Clouse
Brad Bird
Denis Villeneuve
Hsiao-Hsien Hou
Shane Black
Michael Dougherty
Takeshi Kitano
Edward Berger
Irvin Kershner
Yoshiaki Kawajiri
Terry George
Richard Marquand
Sheldon Lettich
John Sturges
Stephen Chow
Michael Crichton
Simon McQuoid
Paul W.S. Anderson
Victor Fleming
George Cukor
Sam Wood
Chi-Kin Kwok
Mark Steven Johnson
Menahem Golan
Anthony Mann
Oliver Hirschbiegel
Wong Kar-Wai
Paul Bartel
James McTeigue
Dwight H. Little
Michael Mann
Junpei Mizusaki
Corey Yuen
Ric Roman Waugh
Paul Greengrass
John G. Avildsen
Joseph Ruben
Edgar Wright
Alex Proyas
Sung Soo Kim
Robert Houston
Siu-Tung Ching
Wai-Man Yip
Gareth Evans
Joseph Kosinski
James Wan
Roberto Benigni
Paul Verhoeven
Edward Drake
Francis Ford Coppola
Luc Besson
Neil Marshall
Joseph Zito
Rob Bowman
Marc Forster
Albert Hughes
Allen Hughes
Carl Rinsch
Roman Polanski
Rob Marshall
Peter Jackson
Todd Phillips
Martin Campbell
Don Hall
Carlos López Estrada
Paul Briggs
Stephen Sommers
David Yates
Josh Cooley
Colin Trevorrow
Merian C. Cooper
Ernest B. Schoedsack
Andrew Stanton
Lee Unkrich
Guy Ritchie
Chris Columbus
Sean Penn
Ron Clements
John Musker
Ruben Fleischer
Greg Mottola
Jonathan Dayton
Valerie Faris
Eric Darnell
Tom McGrath
Roar Uthaug
Eric Brevig
John Landis
Alexander Payne
Pete Docter
David Silverman
Jim Jarmusch
Brad Silberling
Anna Boden
Ryan Fleck
Ash Brannon
Chris Wedge
Carlos Saldanha
Matt Ross
Nimród Antal
Sam Raimi
Chris Sanders
Rob Reiner
Anthony Minghella
Wolfgang Reitherman
David Hand
Joaquim Dos Santos
Kemp Powers
Justin K. Thompson
Francis Lawrence
Jon Turteltaub
Alan Taylor
Frank Marshall
Richard Donner
Chris Buck
Jennifer Lee
Philipp Stölzl
Kevin Reynolds
Neil Burger
Duwayne Dunham
Marc Webb
John Hillcoat
Harry Bradbeer
Ron Howard
Joel Coen
Ethan Coen
Trey Parker
Hayao Miyazaki
Zack Snyder
Eric Leighton
Ralph Zondag
Clyde Geronimi
Wilfred Jackson
Hamilton Luske
Sydney Pollack
Barry Levinson
Barry Sonnenfeld
Sergio Leone
Bob Persichetti
Peter Ramsey
Rodney Rothman
Michael Thurmeier
Debra Granik
Jimmy Chin
Elizabeth Chai Vasarhelyi
Jude Weng
Jordan Vogt-Roberts
Cameron Crowe
Jake Kasdan
Andrew Adamson
Vicky Jenson
Russell Mulcahy
Steve Oedekerk
Joachim Rønning
Espen Sandberg
Peter Sohn
Baltasar Kormákur
Angus MacLane
Jaume Collet-Serra
Roger Donaldson
Phil Lord
Christopher Miller
Joel Crawford
Januel Mercado
